id,trade_id,target,source,order_date,orderYrEst,quantity,delivery_date,designation,description,category,source_lat,source_lng,target_lat,target_lng
241477,64657,Qatar,United States,2020-01-01 00:00:00+00:00,False,13.0,,AAQ-13 LANTIRN,combat aircraft radar,Sensors,38.8936506,-77.1706298,25.32374976223017,51.183576073246904
313372,64658,Qatar,United States,2017-01-01 00:00:00+00:00,False,40.0,2023-01-01 00:00:00+00:00,Tiger Eyes,aircraft EO system,Sensors,38.8936506,-77.1706298,25.32374976223017,51.183576073246904
241469,64659,Qatar,United States,2020-01-01 00:00:00+00:00,True,13.0,,Tiger Eyes,aircraft EO system,Sensors,38.8936506,-77.1706298,25.32374976223017,51.183576073246904
241603,64660,Qatar,United States,2017-01-01 00:00:00+00:00,True,200.0,2023-01-01 00:00:00+00:00,AGM-65,ASM,Missiles,38.8936506,-77.1706298,25.32374976223017,51.183576073246904
314385,64661,Qatar,United States,2019-01-01 00:00:00+00:00,True,996.0,,JDAM,guided bomb,Missiles,38.8936506,-77.1706298,25.32374976223017,51.183576073246904
312576,64664,Finland,Germany,2020-01-01 00:00:00+00:00,False,16.0,,ship engine 2501-4000,ship engine,Engines,51.247366088569144,10.29806784711105,64.91943777437805,26.241877973434107
242336,64665,Finland,United States,2020-01-01 00:00:00+00:00,False,4.0,,LM-2500 (30001-35000),gas turbine,Engines,38.8936506,-77.1706298,64.91943777437805,26.241877973434107
250104,64666,Iraq,Iran,2020-01-01 00:00:00+00:00,True,3.0,2020-01-01 00:00:00+00:00,Mohajer-6,armed UAV,Aircraft,32.7130414643611,54.20159475117713,33.108923040386195,43.74203811484285
316188,64669,Zambia,Israel,2019-01-01 00:00:00+00:00,True,10.0,2021-01-01 00:00:00+00:00,Musketeer AV,APV,Armoured vehicles,31.50086722549515,35.00588702900374,-13.427817468119615,27.710866759058145
243826,64670,Zambia,Israel,2020-01-01 00:00:00+00:00,True,6.0,2021-01-01 00:00:00+00:00,CARDOM 120mm,mortar,Artillery,31.50086722549515,35.00588702900374,-13.427817468119615,27.710866759058145
243828,64671,Zambia,Israel,2020-01-01 00:00:00+00:00,True,6.0,2021-01-01 00:00:00+00:00,ATMOS M-46 130mm -,self-propelled gun,Artillery,31.50086722549515,35.00588702900374,-13.427817468119615,27.710866759058145
308221,64672,Pakistan,Qatar,2021-01-01 00:00:00+00:00,True,4.0,2021-01-01 00:00:00+00:00,Commando AC,transport helicopter,Aircraft,25.32374976223017,51.183576073246904,30.149461884688986,69.50702434668376
252327,64673,Colombia,Israel,2004-01-01 00:00:00+00:00,True,100.0,2006-01-01 00:00:00+00:00,Nimrod ASM,land-attack missile,Missiles,31.50086722549515,35.00588702900374,3.9486843717316433,-73.0799743040275
245598,64676,Turkmenistan,United States,2019-01-01 00:00:00+00:00,True,12.0,2021-01-01 00:00:00+00:00,F-124 (2850),turbofan,Engines,38.8936506,-77.1706298,39.1460888026155,59.23931822887312
238008,64677,Romania,United States,2022-01-01 00:00:00+00:00,False,130.0,,L-ATV,APV,Armoured vehicles,38.8936506,-77.1706298,45.89192791152659,24.93776373994379
248815,64678,Zambia,Russia,2018-01-01 00:00:00+00:00,True,10.0,2019-01-01 00:00:00+00:00,BTR-80,APC,Armoured vehicles,64.77465657002523,98.10510651767648,-13.427817468119615,27.710866759058145
312480,64684,India,Russia,2010-01-01 00:00:00+00:00,True,4.0,2022-01-01 00:00:00+00:00,AK-630 30mm,naval gun,Naval weapons,64.77465657002523,98.10510651767648,23.25453653614229,79.61203967713585
249198,64685,Paraguay,United States,2020-01-01 00:00:00+00:00,True,2.0,2021-01-01 00:00:00+00:00,Cessna-208 Caravan,light transport aircraft,Aircraft,38.8936506,-77.1706298,-23.297917832810157,-58.36525516338344
309153,64687,Pakistan,Netherlands,2021-01-01 00:00:00+00:00,False,2.0,2022-01-01 00:00:00+00:00,Tripartite,MCM ship,Ships,52.31236663898826,5.516261609879506,30.149461884688986,69.50702434668376
249717,64692,Greece,Spain,2021-01-01 00:00:00+00:00,False,5.0,,Alpha-900,UAV,Aircraft,40.43416182812459,-3.614562787786784,39.12439787490408,22.72053166482316
316962,64696,United States,Israel,2021-01-01 00:00:00+00:00,False,174.0,,Samson-30,IFV turret,Other,31.50086722549515,35.00588702900374,38.8936506,-77.1706298
234240,64698,Bahrain,Jordan,2019-01-01 00:00:00+00:00,True,20.0,2019-01-01 00:00:00+00:00,Al-Jawad,APC,Armoured vehicles,31.26277815019495,36.786588106199005,,
250568,64699,Burkina Faso,Spain,2020-01-01 00:00:00+00:00,False,5.0,2020-01-01 00:00:00+00:00,AS-350,light helicopter,Aircraft,40.43416182812459,-3.614562787786784,12.319988739617818,-1.773250351309407
317012,64705,Spain,Israel,2022-01-01 00:00:00+00:00,True,57.0,,Litening-5,aircraft EO/radar system,Sensors,31.50086722549515,35.00588702900374,40.43416182812459,-3.614562787786784
253888,64707,Indonesia,United States,2019-01-01 00:00:00+00:00,False,5.0,2019-01-01 00:00:00+00:00,PA-28 Cherokee,light aircraft,Aircraft,38.8936506,-77.1706298,-2.2341369820788897,117.4318266609068
251503,64708,Laos,Russia,2020-01-01 00:00:00+00:00,True,1.0,2021-01-01 00:00:00+00:00,An-26,transport aircraft,Aircraft,64.77465657002523,98.10510651767648,18.482754615443152,103.7315666982204
240565,64711,Saudi Arabia,Ukraine,2020-01-01 00:00:00+00:00,True,60.0,2021-01-01 00:00:00+00:00,Kozak-5,APC/APV,Armoured vehicles,49.21525509612321,31.19776005188007,24.281956452869768,44.45043050055469
252137,64715,Afghanistan,United States,2017-01-01 00:00:00+00:00,False,5.0,2018-01-01 00:00:00+00:00,ScanEagle,UAV,Aircraft,38.8936506,-77.1706298,33.9374136174504,66.12863906155711
252025,64716,Afghanistan,United States,2018-01-01 00:00:00+00:00,False,35.0,2019-01-01 00:00:00+00:00,ScanEagle,UAV,Aircraft,38.8936506,-77.1706298,33.9374136174504,66.12863906155711
252676,64726,Turkmenistan,Italy,2019-01-01 00:00:00+00:00,True,1.0,2021-01-01 00:00:00+00:00,Super Rapid 76mm,naval gun,Naval weapons,42.9206605535352,12.077565961079117,39.1460888026155,59.23931822887312
252694,64727,Turkmenistan,France,2019-01-01 00:00:00+00:00,True,1.0,2021-01-01 00:00:00+00:00,VL-MICA,SAM system,Air defence systems,44.349371111968665,-1.3285559119656076,39.1460888026155,59.23931822887312
252705,64728,Turkmenistan,France,2019-01-01 00:00:00+00:00,True,25.0,2021-01-01 00:00:00+00:00,MICA,BVRAAM,Missiles,44.349371111968665,-1.3285559119656076,39.1460888026155,59.23931822887312
252796,64729,Turkmenistan,Italy,2019-01-01 00:00:00+00:00,True,15.0,2021-01-01 00:00:00+00:00,Otomat-2,anti-ship missile,Missiles,42.9206605535352,12.077565961079117,39.1460888026155,59.23931822887312
312143,64730,Turkmenistan,Germany,2019-01-01 00:00:00+00:00,True,4.0,2021-01-01 00:00:00+00:00,ship engine 4001-6000,ship engine,Engines,51.247366088569144,10.29806784711105,39.1460888026155,59.23931822887312
307553,64734,Turkmenistan,Italy,2019-01-01 00:00:00+00:00,True,1.0,2021-01-01 00:00:00+00:00,Kronos,multi-function radar,Sensors,42.9206605535352,12.077565961079117,39.1460888026155,59.23931822887312
310880,64735,Saudi Arabia,China,2020-01-01 00:00:00+00:00,True,5.0,2021-01-01 00:00:00+00:00,TWA,air search radar,Sensors,37.59429811123865,104.2092712875572,24.281956452869768,44.45043050055469
253427,64745,Angola,Slovakia,2019-01-01 00:00:00+00:00,True,30.0,2020-01-01 00:00:00+00:00,3M9,SAM,Missiles,48.73148694673027,19.51301402941404,-12.303618218782251,17.47323674688089
230990,64751,Saudi Arabia,Slovakia,2015-01-01 00:00:00+00:00,True,42.0,2020-01-01 00:00:00+00:00,M-12 120mm,mortar,Artillery,48.73148694673027,19.51301402941404,24.281956452869768,44.45043050055469
311837,64752,Ukraine,Poland,2019-01-01 00:00:00+00:00,False,24.0,2021-01-01 00:00:00+00:00,Dozor-B,APC/APV,Armoured vehicles,52.21125056868454,19.294992434264316,49.21525509612321,31.19776005188007
258256,64753,Bangladesh,Ukraine,2019-01-01 00:00:00+00:00,False,250.0,2020-01-01 00:00:00+00:00,R-3 Korsar,anti-tank missile,Missiles,49.21525509612321,31.19776005188007,23.855222003011843,90.2636535877658
229859,64755,Morocco,Qatar,2020-01-01 00:00:00+00:00,True,6.0,2021-01-01 00:00:00+00:00,Ejder Yalcin,APC,Armoured vehicles,25.32374976223017,51.183576073246904,30.090601546518155,-8.285103617882962
240833,64756,Morocco,Ukraine,2018-01-01 00:00:00+00:00,True,124.0,2020-01-01 00:00:00+00:00,R-2,anti-tank missile,Missiles,49.21525509612321,31.19776005188007,30.090601546518155,-8.285103617882962
256944,64757,Saudi Arabia,Ukraine,2017-01-01 00:00:00+00:00,True,1806.0,2019-01-01 00:00:00+00:00,R-3 Korsar,anti-tank missile,Missiles,49.21525509612321,31.19776005188007,24.281956452869768,44.45043050055469
261370,64758,Saudi Arabia,Ukraine,2017-01-01 00:00:00+00:00,True,1204.0,2019-01-01 00:00:00+00:00,R-2,anti-tank missile,Missiles,49.21525509612321,31.19776005188007,24.281956452869768,44.45043050055469
316833,64760,Kazakhstan,Spain,2021-01-01 00:00:00+00:00,False,2.0,,A-400M,transport aircraft,Aircraft,40.43416182812459,-3.614562787786784,48.47136848447355,67.31771120960529
261507,64761,Kazakhstan,Germany,2021-01-01 00:00:00+00:00,False,8.0,,TP-400 (11000),turboprop,Engines,51.247366088569144,10.29806784711105,48.47136848447355,67.31771120960529
262791,64762,Guinea,China,2009-01-01 00:00:00+00:00,True,2.0,2010-01-01 00:00:00+00:00,WZ-551,APC,Armoured vehicles,37.59429811123865,104.2092712875572,10.454502922131615,-11.063678807960263
268267,64763,Cambodia,Russia,2020-01-01 00:00:00+00:00,True,2.0,2021-01-01 00:00:00+00:00,Mi-17,transport helicopter,Aircraft,64.77465657002523,98.10510651767648,12.690402904955706,104.87692277510028
262822,64764,Syria,Russia,2016-01-01 00:00:00+00:00,True,4.0,2021-01-01 00:00:00+00:00,Mi-24P,combat helicopter,Aircraft,64.77465657002523,98.10510651767648,35.03783999341983,38.5544006865254
317019,64769,Spain,United Kingdom,2021-01-01 00:00:00+00:00,False,3.0,,Air refuel system,air refuel system,Other,54.10280200875406,-2.9029433297645,40.43416182812459,-3.614562787786784
314582,64770,Somalia,Turkiye,2021-01-01 00:00:00+00:00,False,8.0,2021-01-01 00:00:00+00:00,Kirpi,APC,Armoured vehicles,39.11209749790621,35.1160592002762,4.7776889840333014,45.74049017137899
311300,64772,Malawi,United Kingdom,2015-01-01 00:00:00+00:00,True,1.0,2016-01-01 00:00:00+00:00,SA-341 Gazelle,light helicopter,Aircraft,54.10280200875406,-2.9029433297645,-13.194467922638283,34.19722668809708
310231,64774,Senegal,Spain,2021-01-01 00:00:00+00:00,False,2.0,2023-01-01 00:00:00+00:00,C-295 -,transport aircraft,Aircraft,40.43416182812459,-3.614562787786784,14.362303074575424,-14.511793783797325
250102,64775,Zambia,Italy,2020-01-01 00:00:00+00:00,True,2.0,2021-01-01 00:00:00+00:00,Bell-412,helicopter,Aircraft,42.9206605535352,12.077565961079117,-13.427817468119615,27.710866759058145
314240,64778,Iraq,Bulgaria,2021-01-01 00:00:00+00:00,False,20.0,2022-01-01 00:00:00+00:00,BMP-1,IFV,Armoured vehicles,42.76543274289596,25.19870236591816,33.108923040386195,43.74203811484285
309048,64789,Greece,France,2022-01-01 00:00:00+00:00,False,6.0,,Rafale,FGA aircraft,Aircraft,44.349371111968665,-1.3285559119656076,39.12439787490408,22.72053166482316
273267,64792,United States,France,2017-01-01 00:00:00+00:00,False,141.0,2020-01-01 00:00:00+00:00,Atar-9 (7000),turbojet,Engines,44.349371111968665,-1.3285559119656076,38.8936506,-77.1706298
309690,64796,Australia,United States,2023-01-01 00:00:00+00:00,True,2.0,,Virginia,nuclear submarine,Ships,38.8936506,-77.1706298,-26.234938747067027,134.61771009288262
308654,64797,Australia,United States,2023-01-01 00:00:00+00:00,True,220.0,,BGM-109,SSM,Missiles,38.8936506,-77.1706298,-26.234938747067027,134.61771009288262
314786,64798,Australia,United States,2022-01-01 00:00:00+00:00,True,80.0,,AGM-158B-2 JASSM,ASM,Missiles,38.8936506,-77.1706298,-26.234938747067027,134.61771009288262
317264,64800,Australia,United States,2023-01-01 00:00:00+00:00,True,,,PrSM,SSM,Missiles,38.8936506,-77.1706298,-26.234938747067027,134.61771009288262
307757,64804,Philippines,Canada,2019-01-01 00:00:00+00:00,False,6.0,2023-01-01 00:00:00+00:00,aircraft engine 2001-3000,aircraft engine,Engines,45.5587577,-74.0240021,11.84298275761646,122.8846890593164
293957,64805,Thailand,Canada,2021-01-01 00:00:00+00:00,False,2.0,2023-01-01 00:00:00+00:00,aircraft engine 2001-3000,aircraft engine,Engines,45.5587577,-74.0240021,15.086950068964573,101.0075524581199
240087,64806,Indonesia,Australia,2023-01-01 00:00:00+00:00,False,15.0,2023-01-01 00:00:00+00:00,Bushmaster,APC,Armoured vehicles,-26.234938747067027,134.61771009288262,-2.2341369820788897,117.4318266609068
317362,64810,UAE,United States,2021-01-01 00:00:00+00:00,False,1000.0,,AGM-114 Hellfire-2,anti-tank missile/ASM,Missiles,38.8936506,-77.1706298,23.875788010111567,54.21089357802459
308871,64812,Ukraine,United States,2021-01-01 00:00:00+00:00,False,180.0,2021-01-01 00:00:00+00:00,Javelin ATM,anti-tank missile,Missiles,38.8936506,-77.1706298,49.21525509612321,31.19776005188007
311961,64819,Malaysia,United States,2021-01-01 00:00:00+00:00,False,1.0,,TPS-77,air search radar,Sensors,38.8936506,-77.1706298,3.7295287380839697,109.69877436890674
232049,64821,Turkiye,United States,2016-01-01 00:00:00+00:00,False,184.0,2022-01-01 00:00:00+00:00,vehicle engine 301-400,vehicle engine,Engines,38.8936506,-77.1706298,39.11209749790621,35.1160592002762
233051,64823,Saudi Arabia,Sweden,2017-01-01 00:00:00+00:00,False,5.0,,CEROS-200,fire control radar,Sensors,63.44287614193311,16.85012288197351,24.281956452869768,44.45043050055469
234238,64825,United States,Canada,2018-01-01 00:00:00+00:00,True,6.0,2021-01-01 00:00:00+00:00,aircraft engine 2001-3000,aircraft engine,Engines,45.5587577,-74.0240021,38.8936506,-77.1706298
234282,64827,Rwanda,Turkiye,2020-01-01 00:00:00+00:00,False,49.0,2021-01-01 00:00:00+00:00,Hizir -,APC,Armoured vehicles,39.11209749790621,35.1160592002762,-2.0136758961348495,29.918907210416613
235847,64830,Uganda,Belarus,2019-01-01 00:00:00+00:00,True,6.0,2020-01-01 00:00:00+00:00,BMP-2,IFV,Armoured vehicles,53.553739761660864,27.990019557652698,1.2966785567672436,32.357789271692496
236516,64833,Algeria,Spain,2019-01-01 00:00:00+00:00,True,25.0,2020-01-01 00:00:00+00:00,Guardian RWS,APC turret,Other,40.43416182812459,-3.614562787786784,28.45259627429247,2.596583168800451
307221,64834,Mauritius,India,2021-01-01 00:00:00+00:00,False,1.0,2021-01-01 00:00:00+00:00,Do-228,light transport aircraft,Aircraft,23.25453653614229,79.61203967713585,20.298580356335503,-10.312840203169692
236579,64835,Mauritius,India,2021-01-01 00:00:00+00:00,False,1.0,2022-01-01 00:00:00+00:00,Do-228,light transport aircraft,Aircraft,23.25453653614229,79.61203967713585,20.298580356335503,-10.312840203169692
310550,64836,Mauritius,India,2021-01-01 00:00:00+00:00,False,1.0,2022-01-01 00:00:00+00:00,Dhruv,helicopter,Aircraft,23.25453653614229,79.61203967713585,20.298580356335503,-10.312840203169692
308593,64837,United Kingdom,Israel,2019-01-01 00:00:00+00:00,True,,,Litening-5,aircraft EO/radar system,Sensors,31.50086722549515,35.00588702900374,54.10280200875406,-2.9029433297645
308254,64844,Kenya,Germany,2020-01-01 00:00:00+00:00,False,9.0,2021-01-01 00:00:00+00:00,G-120TP,trainer aircraft,Aircraft,51.247366088569144,10.29806784711105,0.5971657294262445,37.79137422563831
307366,64846,unknown recipient(s),Israel,2020-01-01 00:00:00+00:00,False,50.0,2021-01-01 00:00:00+00:00,ThunderB,UAV,Aircraft,31.50086722549515,35.00588702900374,,
239224,64849,Czechia,United States,2021-01-01 00:00:00+00:00,True,14.0,2023-01-01 00:00:00+00:00,AGM-114 Hellfire-2,anti-tank missile/ASM,Missiles,38.8936506,-77.1706298,49.785076894404064,15.330424044073988
315652,64854,Denmark,United States,2020-01-01 00:00:00+00:00,False,,,Mk-54 LWT,ASW torpedo,Missiles,38.8936506,-77.1706298,56.08227806740872,9.87128944381565
